Time,l_per,l_abs,b_per,b_abs
1761457623,37.1,418,20.8,163
1761457624,38.9,439,23.1,181
1761457641,39.5,445,24.4,191
1761457660,39.5,446,24.8,194
1761457681,39.8,449,25.1,196
1761457706,40.6,458,25.4,199
1761457747,41.2,465,25.6,200
1761457797,41.8,471,25.8,202
1761457883,42.6,481,26.2,205
1761457912,43.3,488,26.5,207
1761457969,43.7,493,26.6,208
1761458022,44.1,498,27.1,212
1761458061,44.2,499,27.2,213
1761458124,44.3,500,27.4,214
1761458163,44.7,504,27.7,217
1761458256,45.0,508,28.0,219
1761458322,45.4,512,28.3,221
1761458340,45.5,513,28.5,223
1761458383,45.5,513,28.6,224
1761458436,45.5,513,28.6,224
1761458510,45.7,516,28.9,226
1761458535,45.7,516,28.9,226
1761458564,45.7,516,28.9,226
1761458644,46.0,519,29.3,229
1761458664,49.8,562,31.7,248
1761458677,49.8,562,31.7,248
1761458704,52.5,592,33.1,259
1761458732,52.8,596,33.6,263
1761458755,53.0,598,33.9,265
1761458796,53.4,602,34.0,266
1761458818,54.6,616,35.9,281
1761458860,55.1,621,36.3,284
1761458900,56.2,634,37.1,290
1761458937,56.5,637,37.5,293
1761458991,57.0,643,38.0,297
1761459097,57.3,646,38.2,299
1761459145,57.4,647,38.5,301
1761459195,58.1,655,39.0,305
1761459313,58.3,658,39.4,308
1761459414,58.3,658,39.4,308
1761459574,58.3,658,39.4,308
1761459688,58.5,660,39.5,309
1761459815,59.2,668,40.0,313
1761459884,59.2,668,40.0,313
1761459980,59.2,668,40.0,313
1761460145,59.8,674,40.8,319
1761460244,62.0,699,41.8,327
1761460389,62.0,699,41.8,327
1761460533,62.0,699,41.8,327
1761460588,62.0,699,41.8,327
1761460665,62.0,699,41.8,327
1761460793,62.2,702,42.2,330
1761460929,62.2,702,42.2,330
1761460970,62.2,702,42.2,330
1761461104,62.2,702,42.2,330
1761461206,62.2,702,42.2,330
