time,subject,fuzzer,run,cov_type,cov
1761457615,lightftp,aflnet,1,l_per,37.1
1761457615,lightftp,aflnet,1,l_abs,418
1761457615,lightftp,aflnet,1,b_per,20.8
1761457615,lightftp,aflnet,1,b_abs,163
1761457616,lightftp,aflnet,1,l_per,38.9
1761457616,lightftp,aflnet,1,l_abs,439
1761457616,lightftp,aflnet,1,b_per,23.1
1761457616,lightftp,aflnet,1,b_abs,181
1761457625,lightftp,aflnet,1,l_per,39.5
1761457625,lightftp,aflnet,1,l_abs,446
1761457625,lightftp,aflnet,1,b_per,24.7
1761457625,lightftp,aflnet,1,b_abs,193
1761457639,lightftp,aflnet,1,l_per,39.5
1761457639,lightftp,aflnet,1,l_abs,446
1761457639,lightftp,aflnet,1,b_per,24.8
1761457639,lightftp,aflnet,1,b_abs,194
1761457677,lightftp,aflnet,1,l_per,40.0
1761457677,lightftp,aflnet,1,l_abs,451
1761457677,lightftp,aflnet,1,b_per,25.1
1761457677,lightftp,aflnet,1,b_abs,196
1761457697,lightftp,aflnet,1,l_per,40.8
1761457697,lightftp,aflnet,1,l_abs,460
1761457697,lightftp,aflnet,1,b_per,25.4
1761457697,lightftp,aflnet,1,b_abs,199
1761457715,lightftp,aflnet,1,l_per,41.1
1761457715,lightftp,aflnet,1,l_abs,464
1761457715,lightftp,aflnet,1,b_per,25.6
1761457715,lightftp,aflnet,1,b_abs,200
1761457749,lightftp,aflnet,1,l_per,41.8
1761457749,lightftp,aflnet,1,l_abs,472
1761457749,lightftp,aflnet,1,b_per,26.0
1761457749,lightftp,aflnet,1,b_abs,203
1761457780,lightftp,aflnet,1,l_per,41.8
1761457780,lightftp,aflnet,1,l_abs,472
1761457780,lightftp,aflnet,1,b_per,26.0
1761457780,lightftp,aflnet,1,b_abs,203
1761457868,lightftp,aflnet,1,l_per,42.5
1761457868,lightftp,aflnet,1,l_abs,479
1761457868,lightftp,aflnet,1,b_per,26.3
1761457868,lightftp,aflnet,1,b_abs,206
1761457921,lightftp,aflnet,1,l_per,42.7
1761457921,lightftp,aflnet,1,l_abs,482
1761457921,lightftp,aflnet,1,b_per,26.5
1761457921,lightftp,aflnet,1,b_abs,207
1761457970,lightftp,aflnet,1,l_per,43.5
1761457970,lightftp,aflnet,1,l_abs,491
1761457970,lightftp,aflnet,1,b_per,26.9
1761457970,lightftp,aflnet,1,b_abs,210
1761458008,lightftp,aflnet,1,l_per,43.7
1761458008,lightftp,aflnet,1,l_abs,493
1761458008,lightftp,aflnet,1,b_per,26.9
1761458008,lightftp,aflnet,1,b_abs,210
1761458060,lightftp,aflnet,1,l_per,44.1
1761458060,lightftp,aflnet,1,l_abs,497
1761458060,lightftp,aflnet,1,b_per,27.2
1761458060,lightftp,aflnet,1,b_abs,213
1761458110,lightftp,aflnet,1,l_per,44.2
1761458110,lightftp,aflnet,1,l_abs,499
1761458110,lightftp,aflnet,1,b_per,27.2
1761458110,lightftp,aflnet,1,b_abs,213
1761458181,lightftp,aflnet,1,l_per,44.8
1761458181,lightftp,aflnet,1,l_abs,505
1761458181,lightftp,aflnet,1,b_per,27.5
1761458181,lightftp,aflnet,1,b_abs,215
1761458224,lightftp,aflnet,1,l_per,44.8
1761458224,lightftp,aflnet,1,l_abs,505
1761458224,lightftp,aflnet,1,b_per,27.7
1761458224,lightftp,aflnet,1,b_abs,217
1761458325,lightftp,aflnet,1,l_per,45.1
1761458325,lightftp,aflnet,1,l_abs,509
1761458325,lightftp,aflnet,1,b_per,28.3
1761458325,lightftp,aflnet,1,b_abs,221
1761458352,lightftp,aflnet,1,l_per,45.3
1761458352,lightftp,aflnet,1,l_abs,511
1761458352,lightftp,aflnet,1,b_per,28.8
1761458352,lightftp,aflnet,1,b_abs,225
1761458406,lightftp,aflnet,1,l_per,45.4
1761458406,lightftp,aflnet,1,l_abs,512
1761458406,lightftp,aflnet,1,b_per,28.9
1761458406,lightftp,aflnet,1,b_abs,226
1761458443,lightftp,aflnet,1,l_per,45.7
1761458443,lightftp,aflnet,1,l_abs,515
1761458443,lightftp,aflnet,1,b_per,29.0
1761458443,lightftp,aflnet,1,b_abs,227
1761458497,lightftp,aflnet,1,l_per,45.9
1761458497,lightftp,aflnet,1,l_abs,518
1761458497,lightftp,aflnet,1,b_per,29.2
1761458497,lightftp,aflnet,1,b_abs,228
1761458574,lightftp,aflnet,1,l_per,48.7
1761458574,lightftp,aflnet,1,l_abs,549
1761458574,lightftp,aflnet,1,b_per,30.7
1761458574,lightftp,aflnet,1,b_abs,240
1761458606,lightftp,aflnet,1,l_per,48.8
1761458606,lightftp,aflnet,1,l_abs,550
1761458606,lightftp,aflnet,1,b_per,30.9
1761458606,lightftp,aflnet,1,b_abs,242
1761458653,lightftp,aflnet,1,l_per,49.2
1761458653,lightftp,aflnet,1,l_abs,555
1761458653,lightftp,aflnet,1,b_per,31.6
1761458653,lightftp,aflnet,1,b_abs,247
1761458709,lightftp,aflnet,1,l_per,50.0
1761458709,lightftp,aflnet,1,l_abs,564
1761458709,lightftp,aflnet,1,b_per,32.1
1761458709,lightftp,aflnet,1,b_abs,251
1761458740,lightftp,aflnet,1,l_per,50.2
1761458740,lightftp,aflnet,1,l_abs,566
1761458740,lightftp,aflnet,1,b_per,32.4
1761458740,lightftp,aflnet,1,b_abs,253
1761458792,lightftp,aflnet,1,l_per,51.1
1761458792,lightftp,aflnet,1,l_abs,576
1761458792,lightftp,aflnet,1,b_per,33.0
1761458792,lightftp,aflnet,1,b_abs,258
1761458889,lightftp,aflnet,1,l_per,51.9
1761458889,lightftp,aflnet,1,l_abs,585
1761458889,lightftp,aflnet,1,b_per,33.6
1761458889,lightftp,aflnet,1,b_abs,263
1761458997,lightftp,aflnet,1,l_per,52.4
1761458997,lightftp,aflnet,1,l_abs,591
1761458997,lightftp,aflnet,1,b_per,34.1
1761458997,lightftp,aflnet,1,b_abs,267
1761459060,lightftp,aflnet,1,l_per,52.6
1761459060,lightftp,aflnet,1,l_abs,593
1761459060,lightftp,aflnet,1,b_per,34.5
1761459060,lightftp,aflnet,1,b_abs,270
1761459153,lightftp,aflnet,1,l_per,52.8
1761459153,lightftp,aflnet,1,l_abs,596
1761459153,lightftp,aflnet,1,b_per,34.8
1761459153,lightftp,aflnet,1,b_abs,272
1761459176,lightftp,aflnet,1,l_per,52.9
1761459176,lightftp,aflnet,1,l_abs,597
1761459176,lightftp,aflnet,1,b_per,34.9
1761459176,lightftp,aflnet,1,b_abs,273
1761459246,lightftp,aflnet,1,l_per,53.3
1761459246,lightftp,aflnet,1,l_abs,601
1761459246,lightftp,aflnet,1,b_per,35.5
1761459246,lightftp,aflnet,1,b_abs,278
1761459310,lightftp,aflnet,1,l_per,53.3
1761459310,lightftp,aflnet,1,l_abs,601
1761459310,lightftp,aflnet,1,b_per,35.5
1761459310,lightftp,aflnet,1,b_abs,278
1761459363,lightftp,aflnet,1,l_per,53.5
1761459363,lightftp,aflnet,1,l_abs,604
1761459363,lightftp,aflnet,1,b_per,36.1
1761459363,lightftp,aflnet,1,b_abs,282
1761459583,lightftp,aflnet,1,l_per,56.5
1761459583,lightftp,aflnet,1,l_abs,637
1761459583,lightftp,aflnet,1,b_per,37.5
1761459583,lightftp,aflnet,1,b_abs,293
1761459629,lightftp,aflnet,1,l_per,56.5
1761459629,lightftp,aflnet,1,l_abs,637
1761459629,lightftp,aflnet,1,b_per,37.5
1761459629,lightftp,aflnet,1,b_abs,293
1761459740,lightftp,aflnet,1,l_per,56.7
1761459740,lightftp,aflnet,1,l_abs,640
1761459740,lightftp,aflnet,1,b_per,37.9
1761459740,lightftp,aflnet,1,b_abs,296
1761459787,lightftp,aflnet,1,l_per,56.8
1761459787,lightftp,aflnet,1,l_abs,641
1761459787,lightftp,aflnet,1,b_per,38.0
1761459787,lightftp,aflnet,1,b_abs,297
1761459892,lightftp,aflnet,1,l_per,56.9
1761459892,lightftp,aflnet,1,l_abs,642
1761459892,lightftp,aflnet,1,b_per,38.1
1761459892,lightftp,aflnet,1,b_abs,298
1761460026,lightftp,aflnet,1,l_per,57.4
1761460026,lightftp,aflnet,1,l_abs,648
1761460026,lightftp,aflnet,1,b_per,38.6
1761460026,lightftp,aflnet,1,b_abs,302
1761460085,lightftp,aflnet,1,l_per,57.5
1761460085,lightftp,aflnet,1,l_abs,649
1761460085,lightftp,aflnet,1,b_per,38.7
1761460085,lightftp,aflnet,1,b_abs,303
1761460231,lightftp,aflnet,1,l_per,57.9
1761460231,lightftp,aflnet,1,l_abs,653
1761460231,lightftp,aflnet,1,b_per,39.0
1761460231,lightftp,aflnet,1,b_abs,305
1761460336,lightftp,aflnet,1,l_per,58.2
1761460336,lightftp,aflnet,1,l_abs,656
1761460336,lightftp,aflnet,1,b_per,39.4
1761460336,lightftp,aflnet,1,b_abs,308
1761460403,lightftp,aflnet,1,l_per,58.2
1761460403,lightftp,aflnet,1,l_abs,656
1761460403,lightftp,aflnet,1,b_per,39.4
1761460403,lightftp,aflnet,1,b_abs,308
1761460548,lightftp,aflnet,1,l_per,61.5
1761460548,lightftp,aflnet,1,l_abs,694
1761460548,lightftp,aflnet,1,b_per,41.2
1761460548,lightftp,aflnet,1,b_abs,322
1761460612,lightftp,aflnet,1,l_per,61.6
1761460612,lightftp,aflnet,1,l_abs,695
1761460612,lightftp,aflnet,1,b_per,41.3
